"FirstName","LastName","MemberNumber","CarNumber","Car","Class","Best","Best Indexed","ClassRank","IndexRank","OverallRank","Rookie","Run 1","Run 1 Pen","Run 2","Run 2 Pen","Run 3","Run 3 Pen","Run 4","Run 4 Pen","Run 5","Run 5 Pen","Run 6","Run 6 Pen","Run 7","Run 7 Pen","Run 8","Run 8 Pen","Run 9","Run 9 Pen"
"Adam","Barber","","1","1988 Honda CRX Si","P-STS","71.617","58.153","1","1","1","","74.982","1","73.033","","72.335","","71.978","1","71.929","","71.617","","71.63",""
"FELIPE","GONZALEZ","","50","1990 Mazda Miata","P-STS","72.280","58.691","2","2","2","","74.723","","73.908","","73.06","","73.158","","72.841","","72.477","","72.28",""
"Bernie","Kaeferlein","","421","2016 Scion FR-S","P-SSC","73.119","58.860","3","3","3","","75.206","","74.327","","75.149","","74.279","1","74.009","","73.119","","102.622","RERUN 2","79.561",""
"Nicholas","Bedell","","62","2016 Scion Frs","P-SSC","73.525","59.187","5","5","4","","77.138","","75.471","","74.361","","75.22","","74.392","","74.672","2","73.525",""
"Gordon","Kuhnley","","48","1990 Mazda Miata","P-STS","73.948","60.045","7","7","5","","74.582","5","73.977","1","73.209","1","72.901","1","73.948","","73.264","3","73.146","1"
"Jake","Rogers","","990","1990 Mazda Mx-5 Miata","Z-STS","74.128","60.191","1","8","6","","74.128","","75.251","DNF","74.244","1","74.737","","74.537","","74.559","","73.92","1"
"Jeffrey","Rye","","64","1999 Mazda Miata","P-ES","74.283","58.906","4","4","7","","76.194","","75.396","2","74.778","","74.74","1","73.546","2","74.839","3","97.865","RERUN","74.283",""
"Michael","Waich","527","527","1989 Honda Civic Si","P-STS","74.546","60.531","9","10","8","","86.595","OFF","74.864","1","73.906","2","84.968","2","73.842","1","74.546","","103.078","RERUN 2","83.727","DNF"
"Sara","Tessem","","70","1990 Mazda Miata","Z-STS","74.825","60.757","2","13","9","","96.439","DNF","92.984","2","77.119","","76.621","4","76.309","4","74.825","","74.925","2"
"Thomas","Braun","","159","2004 Mazda Mazdaspeed Miata","C2-STU","75.379","62.413","1","22","10","","79.23","","76.802","1","75.582","1","77.445","","76.751","","75.379","","75.43",""
"Brian","Ksicinski","","66","1999 Mazda Miata","P-ES","75.431","59.816","6","6","11","","78.57","","77.919","","76.27","","76.38","","76.423","","76.026","2","94.918","RERUN 1","75.431",""
"Ron","Schwanz","","2","1997 Mazda Miata","Z-STS","75.475","61.285","3","15","12","","76.395","","112.157","RERUN","82.307","","76.191","1","77.215","1","75.475","","75.494","2","76.894","1"
"Ryan","Thompson","","16","1999 Mazda Miata","P-ES","76.025","60.287","8","9","13","","78.109","","76.919","","76.025","","77.139","","76.785","","76.167","","76.447","1"
