"FirstName","LastName","MemberNumber","CarNumber","Car","Class","Best","Best Indexed","ClassRank","IndexRank","OverallRank","Rookie","Run 1","Run 1 Pen","Run 2","Run 2 Pen","Run 3","Run 3 Pen","Run 4","Run 4 Pen","Run 5","Run 5 Pen","Run 6","Run 6 Pen","Run 7","Run 7 Pen"
"Jason","Fox","","183"," Kart Kosmic - CR125 ","Consolidated-KM","29.893","28.009","3","45","1","","33.296","","38.989","","31.21","","30.472","","29.893",""
"Tim","Brueske","","53","2022 Suzuki Buster","Z-AM","30.094","30.094","11","90","2","","36.993","1","32.688","","31.196","","30.094",""
"Neal","Tovsen","","98","2022 Toyota GR86","P-CST","31.445","26.099","6","9","3","","31.816","","31.864","","31.48","","31.153","1","31.445",""
"Adam","Barber","","59","1988 Honda CRX Si","P-EST","31.449","25.630","2","3","4","","34.467","RERUN","31.449","","31.516","","31.609","1","31.693","","31.478",""
"Joe","Deleon","","350","2003 Nissan 350z","XA","31.457","26.612","1","20","5","","32.905","3","32.143","","31.981","","31.457","","31.267","1"
"Michael","Waich","","175","1998 Ford Mustang","P-CAMT","31.639","25.975","4","5","6","","32.182","","31.932","DNF","31.639","","32.096","1","32.091","1"
"Ross","Jacobs","","311","2017 Ford Focus RS","P-DS","31.662","25.677","3","4","7","","32.951","","31.843","","31.662","","32.109","1","31.816",""
"Tyler","Salminen","","68","2022 Toyota GR86","P-CST","31.672","26.287","10","14","8","","32.216","","32.166","1","31.792","1","31.672","","31.416","1"
"Brandon","Cottrell","","850"," Nissan 350Z","XA","31.712","26.828","2","23","9","","33.981","","33.202","","32.457","1","32.424","2","31.712",""
"Mitchell","Welker","","1","1999 Mazda Miata","ES","31.769","25.097","1","1","10","","33.217","1","32.633","","32.025","","31.769","","32.428",""
"Gopihath","Ramchand","","360","2002 Honda S2000","XB","31.784","26.952","1","24","11","","36.009","","32.996","","33.531","","33.039","RERUN","31.784","","31.881",""
"Jake","Rogers","","25","1999 Mazda Miata","P-ES","31.812","25.131","1","2","12","","33.516","","32.304","","33.02","2","31.812","","31.925","1"
"Ted","Hough","","968","1990 Mazda Miata","Z-EST","31.885","25.986","1","6","13","","33.573","","32.637","","49.735","RERUN","32.089","","31.885","","31.924",""
"Piero","Pucci","","510","2013 Scion Frs","XA","31.945","27.025","3","25","14","","33.659","","33.256","","33.585","","32.208","","31.945",""
"Matthew","Waich","752","159","1989 Honda Civic Si","P-EST","31.986","26.068","5","8","15","","33.748","DNF","32.862","","32.632","","32.489","","31.986",""
"Jason","Hobbs","","214","2025 Chevrolet Corvette","P-SS","31.996","26.748","11","21","16","","32.587","1","32.662","","32.66","","33.124","","31.996",""
"Lucas","Reller","","71","2012 Mazda Miata","Z-CSX","32.056","26.029","2","7","17","","33.414","2","33.296","","32.625","","32.448","","32.056",""
"John","Mensch","","58","1988 Honda CRX","P-EST","32.147","26.199","8","13","18","","34.521","2","32.627","1","32.511","","54.28","RERUN","32.504","","32.147",""
"Nicholas","Bedell","","62","2013 Scion Frs","P-SSC","32.272","26.108","7","10","19","","34.882","1","33.18","","32.272","","32.184","1","32.475","1"
"Ryan","Thompson","","17","2012 Mazda Miata","Z-CSX","32.409","26.316","3","15","20","","33.108","","33.146","","32.409","","32.212","1","31.822","1"
"John","Moravec","","49","2024 Mazda Miata","CS","32.425","26.361","1","16","21","","33.009","","33.308","","32.68","","32.425","","32.852","1"
"Chris","Lottes","","713","2022 Mazda MX-5 Club","CS","32.453","26.384","2","18","22","","33.17","2","32.669","","32.788","","32.453","","33.038","1"
"Jon","Stef","","805","2011 Subaru WRX","Z-GST","32.562","26.375","4","17","23","","34.195","","33.189","","34.412","","32.562","","32.16","1"
"Peter","Hsu","","8","2019 Honda Type R","Z-DS","32.669","26.494","5","19","24","","33.411","","33.383","1","32.669","","32.902","","41.156","RERUN","32.009","2"
"Harold","Kachelmyer","","948","1984 Porsche 944","XA","32.714","27.676","4","38","25","","33.882","","33.855","1","51.957","RERUN","32.714","","33.429","","32.98",""
"Dave","Farrell","","20","2006 Lotus Elise","Z-SST","32.742","27.372","7","31","26","","34.312","","33.903","","34.073","","33.725","","32.742",""
"Bryce","Allen","","19","2012 Mazda Miata","P-CSX","32.973","26.774","12","22","27","","38.701","DNF","55.782","DNF","32.973","","33.063","","32.417","4"
"Emilio","Rescigno","","2","2003 Toyota MR2","ES","33.096","26.145","2","11","28","","33.81","","33.518","1","33.354","","38.768","3","33.096",""
"Adam","Ansorge","","279","2004 Toyota MR2","P-ES","33.164","26.199","9","12","29","","33.791","","34.265","DNF","33.164","","33.361","","32.933","1"
"Robert","Sorensen","","100","2014 Ford Mustang","CAMC","33.311","27.481","1","33","30","","34.162","","33.574","","33.311","","33.633","","34.385",""
"Ian","Schmitz","","47","2022 Hyundai Veloster N","DS","33.354","27.050","1","26","31","","33.529","1","33.537","","33.354","","33.518","","32.735","1"
"Randy","Williams","","97","2017 Mazda RF Club","CS","33.479","27.218","3","27","32","","33.479","","33.188","1","33.553","1","33.73","","33.57",""
"Blake","Wilson","","786","2020 Mazda MX-5 RF GT","CS","33.635","27.345","4","29","33","","34.068","","33.921","1","33.807","1","33.586","3","33.635",""
"Taylor","Finger","","37","2006 Mini Cooper","XB","33.690","28.569","2","55","34","","36.361","","45.163","DNF","34.131","","34.775","","33.69",""
